Manufacturer,Model,Part Number,Comments,Interfaces,Console Ports,Power Ports,Device Bays
Fortinet,FortiAP 233G,FAP-233G,"[FortiAP Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf), [FortiAP 231G/233G QuickStart Guide](https://docs.fortinet.com/document/fortiap/hardware/fortiap-231g-233g-qsg)","lan-1-poe, lan-2, radio-1, radio-2, radio-3",,,
Fortinet,FortiGate 60E-POE,FG-60E-POE,[Data-Sheet](https://www.firewalls.com/pub/media/wysiwyg/datasheets/Fortinet/FG-FW-60E.pdf),"port1, port2, port3, port4, port5, port6, port7, port8, wan1, wan2",Console,PS1,
Fortinet,FortiGate 600F,FG-600F,"[FortiGate 600F Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-600f-series.pdf) Same as FG-601F, but **WITHOUT** 2 x 240GB SSDs on-board.","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, x1, x2, x3, x4, x5, x6, x7, x8",Console,"PS1, PS2",
Fortinet,FortiGate 1100E,FG-1100E,"Same as FG-1101E , but **WITHOUT** 2 x 480GB SSDs on-board.","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34",Console,"PS1, PS2",
Fortinet,FortiGate 1101E,FG-1101E,"Same as FG-1100E , but **WITH** 2 x 480GB SSDs on-board.","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34",Console,"PS1, PS2",
Fortinet,FortiSwitch 124E-POE,FS-124E-POE,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch 124E Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/fortiswitch-124e-series-quickstart-guide)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28",Console,PS1,
Fortinet,FortiGate 81E,FG-81E,"Same as FG-80E , but **WITH** a 128GB SSD on-board.  Has no POE.","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, dmz, ha, wan1, wan2",Console,PS1,
Fortinet,SP-RACKTRAY-02,SP-RACKTRAY-02,[Fortinet Rack Mount Tray QuickStart Guide](https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/d3b3c280-1a08-11e9-9685-f8bc1258b856/Fortinet-Rack-Mount-Tray-QSG.pdf),,,,"Left, Right"
Fortinet,FortiGate 200E,FG-200E,"Same as FG-201E , but **WITHOUT** 1 x 480GB SSD on-board.","ha, mgmt, wan1, wan2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18",Console,"PS1, DC Input for RPS",
Fortinet,FortiGate 60F,FG-60F,[FortiGate 60F Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-60f-series.pdf),"internal1, internal2, internal3, internal4, internal5, A, B, dmz, wan1, wan2",Console,PS1,
Fortinet,FortiWeb 3000E,FWB-3000E,,"mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16",Console,,
Fortinet,FortiGate 7121F,FG-7121F,"FortiGate 7121F Handbook https://docs.fortinet.com/document/fortigate-7000/7.0.17/fortigate-7000f-handbook/956599/fortigate-7121f
",,,,
Fortinet,FortiGate 200D,FG-200D,,"mgmt, wan1, wan2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, dmz1, dmz2",Console,PS1,
Fortinet,FortiGate 201E,FG-201E,"Same as FG-200E , but **WITH** 1 x 480GB SSD on-board.","ha, mgmt, wan1, wan2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18",Console,PS1,
Fortinet,FortiGate 3701F,FG-3701F,[FortiGate 3700F Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-3700f-series.pdf),"ha1, ha2, mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26",Console,,
Fortinet,FortiGate 61E,FG-61E,"Same as FG-60E, but **WITH** 1 x 128 GB SSD onboard storage.","dmz, internal1, internal2, internal3, internal4, internal5, internal6, internal7, wan1, wan2",Console,PS1,
Fortinet,FortiGate 600E,FG-600E,"Same as FG-601E , but **WITHOUT** 2 x 240GB SSDs on-board.","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, s1, s2, vw1, vw2, x1, x2",Console,,
Fortinet,FortiSwitch 1024E,FS-1024E,[Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Data_Center_Series.pdf),"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, mgmt",Console,,
Fortinet,FortiSwitch 424E-FPOE,FS-424E-FPOE,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch 424E Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/fortiswitch-424e-series-quickstart-guide)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, mgmt",Console,"PS1, PS2",
Fortinet,FortiGate 60D,FG-60D,,"port1, port2, port3, port4, port5, port6, port7, wan1, wan2, dmz",Console,PS1,
Fortinet,FortiSwitch 648F,FS-648F,,"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48, port49, port50, port51, port52, port53, port54, port55, port56, mgmt","Console, USB",,
Fortinet,FortiAP C24JE,FAP-C24JE,"[FortiAP C Series Datasheet](https://fortinet.globalgate.com.ar/pdfs/FortiAP/FortiAP_C_Series.pdf), [FortiAP C24JE QuickStart Guide](https://docs.fortinet.com/document/fortiap/hardware/fortiap-c24je-quickstart-guide)","wan-poe, lan1, lan2, lan3, radio-1, radio-2",Console,DC-In,
Fortinet,FortiGate 601F,FG-601F,"Same as FG-600F, but **WITH** 2 x 240GB SSDs on-board.","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, x1, x2, x3, x4, x5, x6, x7, x8",Console,"PS1, PS2",
Fortinet,FortiGate 500D,FG-500D,,"mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16","usbmgmt, Console, usbport1, usbport2","PS1, FRPS",
Fortinet,FortiGate 201G,FG-201G,[Fortigate 200G/201G Data Sheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-200g-series.pdf),"ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, x1, x2, x3, x4, x5, x6, x7, x8, port17, port18, port19, port20",Console,"PS1, PS2",
Fortinet,FortiSIEM 2000F,FSM-2000F,,"port1, port2, port3, port4",Console,"PS1, PS2",
Fortinet,FortiGate 2600F,FG-2600F,,"mgmt1, mgmt2, ha1, ha2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36",Console,,
Fortinet,FortiGate 30G,FG-30G,,"WAN, Port1, Port2, PortA",Console,PSU1,
Fortinet,FortiSwitch 224E,FS-224E,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch 224E Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/224e-series-quickstart-guide)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, mgmt",Console,"PS1, PS2",
Fortinet,FortiSwitch 448D-FPOE,FS-448D-FPOE,,"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48, port49, port50, port51, port52, mgmt",Console,,
Fortinet,FortiGate 61F,FG-61F,"Same as FG-60F, but **WITH** 1 x 128 GB SSD onboard storage.","internal1, internal2, internal3, internal4, internal5, A, B, dmz, wan1, wan2",Console,PS1,
Fortinet,FortiAP 221E,FAP-221E,"[FortiAP Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortiap-series.pdf), [FortiAP 221E/223E, FAP-221E+/223E+ QuickStart Guide](https://docs.fortinet.com/document/fortiap/hardware/fortiap-221e-223e-fap-221e-223e-quickstart-guide-gen-2)","wan-poe, radio-1, radio-2",,,
Fortinet,FortiSwitch 224E-POE,FS-224E-POE,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch 224E Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/fortiswitch-224e-series-quickstart-guide)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, mgmt",Console,"PS1, RPScon",
Fortinet,FortiGate 3700D,FG-3700D,[FortiGate 3700D Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiGate_3700D.pdf),"mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32","Console, USB MGMT",,
Fortinet,FortiGate 120G,FG-120G,"Same as FG-121G , but **WITHOUT** a 480GB SSD on-board. [FortiGate 120G Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-120g-series.pdf)","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, x1, x2, x3, x4, port17, port18, port19, port20, port21, port22, port23, port24",Console,"PS1, PS2",
Fortinet,FortiSwitch T1024E,FS-T1024E,[Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Data_Center_Series.pdf)  [Quickstart](https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/002ca2c6-586f-11ec-bdf2-fa163e15d75b/FortiSwitch-1024E-Series-QSG.pdf),"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, mgmt",Console,,
Fortinet,FortiAnalyzer 3700G,FAZ-3700G,"[FortiAnalyzer datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortianalyzer.pdf), [FortiAnalyzer 3700G QuickStart Guide](https://docs.fortinet.com/document/fortianalyzer/hardware/fortianalyzer-3700g-quickstart-guide)","IPMI, Ethernet1, Ethernet2, Ethernet3, Ethernet4",Console,,
Fortinet,FortiSwitch 248E-FPOE,FS-248E-FPOE,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch 248E Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/248e-series-quickstart-guide)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48, port49, port50, port51, port52, mgmt",Console,"PS1, RPScon",
Fortinet,FortiGate 3301E,FG-3301E,[Fortinet FortiGate 3301E Data Sheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-3300e-series.pdf),"mgmt1, mgmt2, ha1, ha2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36",Console,,
Fortinet,FortiSwitch 448D-POE,FS-448D-POE,,"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48, port49, port50, port51, port52, mgmt",Console,"PS1, RPScon",
Fortinet,FortiGate 400E,FG-400E,"[FortiGate 400E Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiGate_400E.pdf). Compatible PSU module: SP-FG300E-PS, maximum power draw 214W, average power draw 109W.","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, s1, s2, vw1, vw2",Console,,
Fortinet,FortiSwitch 124F-POE,FS-124F-POE,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch 124F Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/fortiswitch-124f-series-qsg)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28","Console, USB",PS1,
Fortinet,FortiSwitch 424E-POE,FS-424E-POE,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch 424E Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/fortiswitch-424e-series-quickstart-guide)","mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28",Console,"PS1, PS2",
Fortinet,FortiGate 40F,FG-40F,,"wan, A, lan1, lan2, lan3",Console,PS1,
Fortinet,FortiGate 1500DT,FG-1500DT,,"mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40",Console,"PS1, PS2",
Fortinet,FortiGate 100F,FG-100F,"Same as FG-101F , but **WITHOUT** a 480GB SSD on-board.","dmz, mgmt, wan1, wan2, ha1, ha2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, x1, x2, port13, port14, port15, port16, port17, port18, port19, port20",Console,"PS1, PS2",
Fortinet,FortiGate 3000D,FG-3000D,,"mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16",Console,"PS1, PS2",
Fortinet,FortiSwitch 148F-FPOE,FS-148F-FPOE,"[FortiSwitch Secure Access Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Secure_Access_Series.pdf), [FortiSwitch FS-148F-FPOE Series QuickStart Guide](https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/3f38a8b3-0a5f-11eb-96b9-00505692583a/FortiSwitch-148F-Series-QSG.pdf)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48, port49, port50, port51, port52",Console,PS1,
Fortinet,FortiExtender 101F-EA,FEX-101F-EA,"Built in LTE modem (3 antenna), PoE-capable, Wall-mount.","wan, port1, port2, port3, port4, LTE",Console,PS1,
Fortinet,FortiGate 400F,FG-400F,[FortiGate 400F Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-400f-series.pdf),"ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, x1, x2, x3, x4, x5, x6, x7, x8, port17, port18, port19, port20, port21, port22, port23, port24",Console,,
Fortinet,FortiGate 501E,FG-501E,"Same as FG-500E, but **WITH** 2 x 240GB SSD onboard storage.","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, s1, s2, vw1, vw2, x1, x2",Console,,
Fortinet,FortiGate 300C,FG-300C,,"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10",Console,PS1,
Fortinet,FortiGate 121G,FG-121G,"Same as FG-120G, but **WITH** a 480GB SSD on-board. [FortiGate 120G Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-120g-series.pdf)","ha, mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, x1, x2, x3, x4, port17, port18, port19, port20, port21, port22, port23, port24",Console,"PS1, PS2",
Fortinet,FortiGate 50E,FG-50E,[FortiGate 51E Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiGate_FortiWiFi_50E_Series.pdf),"lan1, lan2, lan3, lan4, lan5, wan1, wan2",Console,PS1,
Fortinet,FortiSwitch 648F-FPOE,FS-648F-FPOE,"[FortiSwitch Secure Campus Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-campus-series.pdf), [FortiSwitch 648F Series QuickStart Guide](https://docs.fortinet.com/document/fortiswitch/hardware/fortiswitch-624f-648f-series-qsg)","port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48, port49, port50, port51, port52, port53, port54, port55, port56, mgmt","Console, USB",,
Fortinet,FortiGate 90D,FG-90D,Has no POE.,"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, wan1, wan2",Console,PS1,
Fortinet,FortiGate 81F,FG-81F,"Same as FGT-80F , but **WITH** a 128GB SSD on-board.  Has no POE.","internal1, internal2, internal3, internal4, internal5, internal6, A, B, wan1, wan2",Console,"PS1, PS2",
Fortinet,FortiGate 3001F,FG-3001F,[FortiGate 3000F Series Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-3000f-series.pdf),"ha1, ha2, mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36",Console,,
Fortinet,FortiGate 3200D,FG-3200D,,"mgmt1, mgmt2, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48","Console, usbmgmt, usbport",,
Fortinet,FortiWeb 2000E,FWB-2000E,,"mgmt, port1, port2, port3, port4, port5, port6, port7, port8, port9, port10",Console,"PS1, PS2",
Fortinet,FortiSwitch 1048E,FS-1048E,[Datasheet](https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiSwitch_Data_Center_Series.pdf),"port1, port2, port3, port4, port5, port6, port7, port8, port9, port10, port11, port12, port13, port14, port15, port16, port17, port18, port19, port20, port21, port22, port23, port24, port25, port26, port27, port28, port29, port30, port31, port32, port33, port34, port35, port36, port37, port38, port39, port40, port41, port42, port43, port44, port45, port46, port47, port48, port49, port50, port51, port52, port53, port54, mgmt",Console,,
Aten,8-Port-PS/2-USB-VGA-KVM-Switch,CS1308,[CS1308](https://www.aten.com/de/de/products/kvm/rack-kvm-switches/cs1308/),,console,DC In,
Neousys,Nuvo-8240GC,,[Neuosys Nuvo-8240GC Datasheet](https://www.neousys-tech.com/en/product/application/edge-ai-gpu-computing/nuvo-8240gc-dual-nvidia-tesla-t4-intel-9th-gpu-computing-ai-platform#specification),"enp5s0, enp0s31f6","COM 1, COM 2, DVI-D, DisplayPort, Audio 3.5m plug",DC,
Eaton,Tripp-Lite PDU1220,037332116673,15 foot power input cord,,,Primary,
Eaton,Tripp-Lite PDU1230,037332122261,15 foot power input cord,,,Primary,
Eaton,5PX3000RTN,,,eth0,,L530R,
Eaton,Tripp Lite B064-016-02-IPG,037332151513,[Datasheet](https://assets.tripplite.com/product-pdfs/en/b06401602ipg.pdf),"1000M Network Adapter 1, 1000M Network Adapter 2",1,"1, 2",
Eaton,Tripp-Lite PDUMH15,037332132529,"Metered with amp display, 15 foot power input cord",,,Primary,
Eaton,Tripp Lite N054-024,N054-024,Tripp-Lite N054-024 Cat5e Feedthrough Patch Panel [Manual](https://assets.tripplite.com/product-pdfs/en/n054024.pdf),,,,
Eaton,Tripp Lite B040-008-19,B040-008-19,[Datasheet](https://assets.tripplite.com/product-pdfs/en/b04000819.pdf),,Firmware Upgrade Port,Power Port 1,
Eaton,Tripp-Lite PDUMV15-36,037332182869,"Metered with amp display, 15 foot power input cord, 36 inch PDU length",,,Primary,
Eaton,Tripp Lite B096-016,037332148902,[Datasheet](https://assets.tripplite.com/product-pdfs/en/b096016.pdf),"eth0_wan, eth1_lan",1,"1, 2",
Eaton,Tripp Lite BP72V15-2U,037332124333,Datasheet [https://assets.tripplite.com/technical-datasheet/legacy-su3000rtxlcd2u-ps87a2-product-datasheet.pdf](https://assets.tripplite.com/technical-datasheet/legacy-su3000rtxlcd2u-ps87a2-product-datasheet.pdf),,,XLBP Source,
Eaton,Tripp Lite SU3000RTXLCD2U,037332180100,"UPS NEMA L5-30P input; 4 NEMA 5-15R, 4 5-15/20R & 1 L5-30R outlets\[https://assets.tripplite.com/technical-datasheet/legacy-su3000rtxlcd2u-ps87a2-product-datasheet.pdf](https://assets.tripplite.com/technical-datasheet/legacy-su3000rtxlcd2u-ps87a2-product-datasheet.pdf)",,"COM 1, COM 2",Primary,
Eaton,Tripp-Lite PDUMH15-6,037332182883,"Metered with amp display, 6 foot power input cord",,,Primary,
Eaton,Tripp Lite PDUH20HVL6,037332158970,,,,Primary,
Eaton,EMAT08-10,743172082657,,Network,"Serial, Daisy Chain, USB management",Power Port 1,
Eaton,Tripp-Lite PDUV15,037332144515,15 foot power input cord,,,Primary,
Eaton,Tripp-Lite PDUMV15,037332132536,"Metered with amp display, 15 foot power input cord",,,Primary,
Eaton,ESWB05,ESWB05,"Eaton Switched Rack PDU, ZeroU, 7.4 kW, 200-240V, (20) C13 & (4) C19",Network,"Serial or EMP, Daisy Chain, USB management",Power Port 1,
Eaton,Tripp-Lite PDUV15-48,037332255815,"15 foot power input cord, 48 inch PDU length",,,Primary,
Eaton,EMAT09-10,743172082664,,Network,"Serial, Daisy Chain, USB management",Power Port 1,
Eaton,Tripp Lite PDUMH15AT,037332126658,,,RS232,"Primary, Secondary",
Eaton,Tripp Lite PDUMVR30HVNETLX,PDUMVR30HVNETLX,"[Datasheet](https://assets.tripplite.com/product-pdfs/en/pdumvr30hvnetlx.pdf)
[Drawing](https://assets.tripplite.com/submittal-drawing/pdumvr30hvnetlx-submittal-drawing-en.pdf)",Net,"Config, USB",Power,
Eaton,5SX1750RAU,5SX1750RAU,"Eaton 5SX UPS, 1750 VA, 1575 W, Rack/Tower 2U [Product Page](https://www.eaton.com/au/en-gb/catalog/backup-power-ups-surge-it-power-distribution/eaton-5sx-ups.html)",Network-M2 (optional card),"USB, RS232","Input Power, Battery connector (EBM)",
Eaton,9PX5KIRTN,,9PX5KIRTN 5kVA 230V Tower/Rack Mountable UPS [Manual](https://www.eaton.com/content/dam/eaton/products/backup-power-ups-surge-it-power-distribution/backup-power-ups/eaton-9px-ups/eaton-9sx-9px-ups-5-6-kva-ebm-180v-installation-and-user-manual.pdf),"eth0, Battery connector, Battery detection","Serial, USB management",AC Source,
Eaton,Tripp-Lite PDU1226,037332255754,6 foot power input cord,,,Primary,
Eaton,Tripp Lite B064-032-01-IPG,037332236340,[Datasheet](https://assets.tripplite.com/product-pdfs/en/b06403201ipg.pdf),"1000M Network Adapter 1, 1000M Network Adapter 2",1,"1, 2",
Eaton,Tripp Lite B051-000,B051-000,IP Remote Access Unit for KVM [Datasheet](https://assets.tripplite.com/product-pdfs/en/b051000.pdf),1,"LUC (Local USB Console) Port, PS/2-USB Console, Serial Port",DC Jack,
Eaton,Tripp-Lite PDUMH15-RA,037332183231,"Metered with amp display, 15 foot power input cord, outlets rotated with ground pin on bottom",,,Primary,
Eaton,Tripp-Lite PDU121506,037332255747,6 foot power input cord,,,Primary,
Eaton,Tripp-Lite PDUMV15-72,037332255839,"Metered with amp display, 15 foot power input cord, 72 inch PDU length",,,Primary,
Eaton,9PXEBM180,9PXEBM180,"Eaton 9PX extended battery moduel (EBM), 180V, Rack/tower, 3U [Manual](https://www.eaton.com/content/dam/eaton/products/backup-power-ups-surge-it-power-distribution/backup-power-ups/eaton-9px-ups/eaton-9sx-9px-ups-5-6-kva-ebm-180v-installation-and-user-manual.pdf)","Battery connector, top, Battery detection, left, Battery connector, down, Battery detection, right",,UPS Input,
Eaton,Tripp Lite SMART1500RMXL2UA,037332120403,"Battery-backed power supply feeding 8 Nema-5-15R receptables

Dimensions: 3.45"" x 17.3"" x 13.45"" Weight: 21.09 kg/46.5 lbs
",,"RS232, USB",Primary,
Eaton,Tripp-Lite PDU12IEC,037332116253,,,,Primary,
Eaton,Tripp Lite SMART1500LCD,037332126146,"Battery-backed power supply feeding 8 Nema-5-15R receptables

Dimensions: 438 x 89 x 267 mm (17.25"" x 3.5"" x 10.5"") Weight: 13.6 kg
",,"RS232, USB",Primary,
Eaton,Tripp Lite B097-016,037332218025,,"eth0_wan, eth1_lan",1,"1, 2",
Eaton,CBL2OUT32,CBL2OUT32,"Eaton Rack PDU Output cable 32A, Hardwired 2 x 32A EN60309, plug 0,75M",,,Power Port 1,
Eaton,Tripp Lite B096-032,037332181183,,"eth0_wan, eth1_lan",1,"1, 2",
